Complexity,Loss,Equation
1,0.012079963,"8.043317"
3,0.008627024,"x0 + 7.3433056"
4,0.006836576,"exp(x0) + 6.0286884"
5,0.0065528858,"(-1.2566273 / x0) + 9.84151"
6,0.0035838452,"(cube(x0) * x4) + 7.353687"
7,0.0023916096,"sin(x4 * cube(x0)) + 7.412628"
8,0.00176143,"(x4 * (cube(x0) - x2)) + 7.6337514"
9,0.0017383632,"(x4 * sin(cube(x0) - x2)) + 7.636989"
10,0.0010528311,"sin(x4 * cube(x0)) + (5.445649 - log(x2))"
12,0.00078677846,"(exp(x0) - ((x2 * (9.210211 - x4)) + x3)) + 7.9880157"
13,0.00067196734,"(exp(x2 / x4) * (exp(x0) - 8.070153)) + (15.498076 - x3)"
14,3.6805697e-5,"8.346069 - (x3 + ((log(x2) - (-1.2297063 / x0)) - (x4 * 0.21994643)))"
15,1.7141723e-5,"(7.4949875 - (log(x3 * x2) + (log(x4) * -0.43311232))) - (1.2341706 / x0)"
17,7.938071e-6,"(7.553273 - (log(x2 * x3) + (log(x4) * -0.43338025))) - (1.3159665 / (x1 + x0))"
18,7.004425e-6,"((7.929006 - log(x3 * x2)) - (log(x4) * -0.43329757)) - (1.4645259 / (x1 + sin(x0)))"
19,3.0455155e-6,"(7.610296 - (log(x3 * x2) - (log(x4) * 0.43361723))) - (1.3994259 / (x0 + (x1 + x1)))"
21,2.2616891e-6,"(7.609729 - log(x3 * x2)) + (((x1 - 1.4214705) / (x1 + (x0 + x1))) - (log(x4) * -0.43375114))"
23,2.2300587e-6,"((7.5774527 + (x1 - log(x2 * x3))) - (1.3989695 / ((x0 + x1) + x1))) - ((x1 + log(x4)) * -0.4337849)"
25,1.6992927e-6,"(((10.576576 - (log(x4) * -0.43330652)) + x1) + (-1.4003243 / ((x1 + x1) + x0))) - (x2 + ((x2 * 6.287832) + log(x3)))"
26,1.6977887e-6,"((x1 + (10.576509 - (log(x4) * -0.43336177))) + (-1.4004173 / (x1 + (x0 + x1)))) - ((x2 * 6.2878404) + sin(x2 + log(x3)))"
27,1.5154347e-6,"(((-1.4859313 / ((x0 + (x1 + x1)) + x1)) - x1) + (10.676811 - (log(x4) * -0.43332672))) - ((x2 * 6.279506) + (x2 + log(x3)))"
28,9.4474325e-7,"((10.926819 - cos(x0)) - (log(x3) + ((x2 * 6.2813287) + (x2 + (1.1088883 / ((x0 + x1) + (x1 + x1))))))) - (log(x4) * -0.43364257)"
29,8.345372e-7,"((11.25255 - cos(x0)) - (x2 + ((log(x3) + (1.2499254 / (x1 + (x1 + sin(x1 + x0))))) + (x2 * 6.2836266)))) - (log(x4) * -0.43363735)"
30,7.268495e-7,"(((x1 + 10.904067) - cos(x0)) - (((1.1083639 / (x0 + ((x1 + x1) + x1))) + (log(x3) + (x2 * 6.28427))) + x2)) - (log(x4) * -0.43375605)"
